,City,Card_Type,Exp_Type,Gender,Amount,Year,Month
118,"Ahmedabad, India",Platinum,Bills,F,490128.0,2013,November
119,"Delhi, India",Platinum,Bills,F,897079.0,2013,October
120,"Delhi, India",Gold,Bills,F,431948.0,2014,October
121,"Bengaluru, India",Silver,Bills,F,228072.0,2014,April
122,"Delhi, India",Gold,Bills,F,757649.0,2013,November
123,"Delhi, India",Signature,Bills,F,919877.0,2014,May
124,"Greater Mumbai, India",Gold,Bills,F,605615.0,2014,May
125,"Bengaluru, India",Platinum,Bills,F,500852.0,2015,May
126,"Greater Mumbai, India",Signature,Bills,F,488136.0,2015,February
127,"Delhi, India",Gold,Bills,F,937828.0,2014,June
128,"Delhi, India",Gold,Bills,F,315873.0,2014,January
129,"Greater Mumbai, India",Silver,Bills,F,567623.0,2015,May
130,"Greater Mumbai, India",Platinum,Bills,F,555123.0,2013,October
131,"Bengaluru, India",Gold,Bills,F,498843.0,2014,April
132,"Greater Mumbai, India",Silver,Bills,F,752610.0,2014,May
133,"Greater Mumbai, India",Platinum,Bills,F,494540.0,2015,March
134,"Delhi, India",Gold,Bills,F,996754.0,2013,October
135,"Ahmedabad, India",Signature,Bills,F,245572.0,2014,July
136,"Delhi, India",Gold,Bills,F,974384.0,2014,April
137,"Ahmedabad, India",Silver,Bills,F,846635.0,2014,March
138,"Ahmedabad, India",Silver,Bills,F,635473.0,2014,September
139,"Delhi, India",Gold,Bills,F,224510.0,2015,March
140,"Delhi, India",Silver,Bills,F,478671.0,2015,January
141,"Greater Mumbai, India",Gold,Bills,F,990700.0,2013,October
142,"Delhi, India",Gold,Bills,F,228565.0,2014,March
143,"Bengaluru, India",Silver,Bills,F,297732.0,2014,January
144,"Greater Mumbai, India",Signature,Bills,F,559262.0,2014,December
145,"Bengaluru, India",Signature,Bills,F,809907.0,2014,July
146,"Ahmedabad, India",Signature,Bills,F,428316.0,2014,August
147,"Ahmedabad, India",Signature,Bills,F,275065.0,2014,March
148,"Bengaluru, India",Silver,Bills,F,845653.0,2014,April
149,"Ahmedabad, India",Signature,Bills,F,236296.0,2013,November
150,"Bengaluru, India",Signature,Bills,F,440572.0,2014,September
151,"Ahmedabad, India",Gold,Bills,F,478115.0,2015,February
152,"Bengaluru, India",Gold,Bills,F,897621.0,2013,October
153,"Greater Mumbai, India",Signature,Bills,F,554281.0,2015,May
154,"Delhi, India",Silver,Bills,F,245452.0,2014,September
155,"Delhi, India",Platinum,Bills,F,365045.0,2014,January
156,"Greater Mumbai, India",Gold,Bills,F,496047.0,2015,January
157,"Bengaluru, India",Silver,Bills,F,466814.0,2015,February
158,"Bengaluru, India",Gold,Bills,F,835177.0,2014,November
159,"Delhi, India",Silver,Bills,F,219698.0,2015,January
160,"Bengaluru, India",Silver,Bills,F,784541.0,2014,October
161,"Delhi, India",Signature,Bills,F,576994.0,2013,October
162,"Bengaluru, India",Gold,Bills,F,464663.0,2015,May
163,"Bengaluru, India",Platinum,Bills,F,380270.0,2014,May
164,"Ahmedabad, India",Silver,Bills,F,772082.0,2014,October
165,"Delhi, India",Gold,Bills,F,230853.0,2015,April
166,"Bengaluru, India",Signature,Bills,F,677654.0,2013,October
167,"Greater Mumbai, India",Signature,Bills,F,929247.0,2014,February
168,"Ahmedabad, India",Platinum,Bills,F,851374.0,2015,April
169,"Ahmedabad, India",Platinum,Bills,F,637600.0,2014,January
170,"Greater Mumbai, India",Platinum,Bills,F,681749.0,2013,November
171,"Delhi, India",Silver,Bills,F,847958.0,2014,March
172,"Greater Mumbai, India",Gold,Bills,F,877569.0,2014,February
173,"Ahmedabad, India",Platinum,Bills,F,450413.0,2013,October
174,"Bengaluru, India",Signature,Bills,F,219041.0,2015,May
175,"Bengaluru, India",Gold,Bills,F,866572.0,2014,December
176,"Greater Mumbai, India",Signature,Bills,F,570791.0,2014,March
177,"Ahmedabad, India",Silver,Bills,F,705464.0,2014,April
178,"Greater Mumbai, India",Signature,Bills,F,806821.0,2014,April
179,"Greater Mumbai, India",Platinum,Bills,F,515472.0,2014,March
180,"Ahmedabad, India",Silver,Bills,F,352207.0,2014,September
181,"Ahmedabad, India",Gold,Bills,F,342761.0,2015,March
182,"Bengaluru, India",Signature,Bills,F,249099.0,2014,February
183,"Ahmedabad, India",Platinum,Bills,F,995634.0,2014,August
184,"Bengaluru, India",Signature,Bills,F,435097.0,2014,December
185,"Ahmedabad, India",Platinum,Bills,F,797815.0,2014,June
186,"Delhi, India",Gold,Bills,F,326922.0,2014,January
187,"Bengaluru, India",Gold,Bills,F,396241.0,2014,December
188,"Delhi, India",Gold,Bills,F,486949.0,2014,December
189,"Greater Mumbai, India",Gold,Bills,F,333483.0,2014,January
190,"Ahmedabad, India",Platinum,Bills,F,612572.0,2013,October
191,"Bengaluru, India",Silver,Bills,F,327244.0,2015,March
192,"Ahmedabad, India",Silver,Bills,F,955468.0,2014,February
193,"Greater Mumbai, India",Gold,Bills,F,927864.0,2015,February
194,"Delhi, India",Signature,Bills,F,555220.0,2014,March
195,"Delhi, India",Silver,Bills,F,952640.0,2014,December
196,"Ahmedabad, India",Silver,Bills,F,695749.0,2014,May
197,"Greater Mumbai, India",Platinum,Bills,F,365724.0,2014,August
198,"Greater Mumbai, India",Platinum,Bills,F,738108.0,2015,March
199,"Ahmedabad, India",Platinum,Bills,F,650785.0,2015,January
200,"Delhi, India",Signature,Bills,F,611486.0,2014,October
201,"Bengaluru, India",Platinum,Bills,F,965721.0,2014,August
202,"Ahmedabad, India",Gold,Bills,F,413052.0,2014,October
203,"Ahmedabad, India",Silver,Bills,F,584822.0,2014,January
204,"Ahmedabad, India",Gold,Bills,F,980146.0,2015,March
205,"Ahmedabad, India",Signature,Bills,F,926072.0,2014,October
206,"Delhi, India",Silver,Bills,F,482394.0,2014,April
207,"Bengaluru, India",Signature,Bills,F,718346.0,2014,February
208,"Bengaluru, India",Silver,Bills,F,491598.0,2014,April
209,"Delhi, India",Platinum,Bills,F,848852.0,2014,September
210,"Bengaluru, India",Gold,Bills,F,396139.0,2014,December
211,"Ahmedabad, India",Signature,Bills,F,856974.0,2014,October
212,"Ahmedabad, India",Signature,Bills,F,855990.0,2015,April
213,"Delhi, India",Signature,Bills,F,924776.0,2015,February
214,"Greater Mumbai, India",Signature,Bills,F,204850.0,2014,April
215,"Delhi, India",Platinum,Bills,F,780669.0,2013,November
216,"Greater Mumbai, India",Signature,Bills,F,887442.0,2014,April
217,"Delhi, India",Signature,Bills,F,297820.0,2014,January
218,"Delhi, India",Signature,Bills,F,687879.0,2015,March
219,"Greater Mumbai, India",Silver,Bills,F,738456.0,2013,October
220,"Delhi, India",Platinum,Bills,F,378535.0,2014,August
221,"Greater Mumbai, India",Silver,Bills,F,334116.0,2015,May
222,"Delhi, India",Silver,Bills,F,772360.0,2014,June
223,"Ahmedabad, India",Gold,Bills,F,580796.0,2014,November
224,"Greater Mumbai, India",Silver,Bills,F,855465.0,2014,October
225,"Greater Mumbai, India",Gold,Bills,F,978989.0,2014,June
226,"Ahmedabad, India",Gold,Bills,F,451874.0,2015,April
227,"Ahmedabad, India",Silver,Bills,F,670750.0,2014,September
228,"Bengaluru, India",Signature,Bills,F,977951.0,2015,May
229,"Delhi, India",Platinum,Bills,F,403466.0,2014,February
230,"Delhi, India",Signature,Bills,F,861177.0,2013,October
231,"Ahmedabad, India",Gold,Bills,F,528612.0,2014,December
232,"Ahmedabad, India",Signature,Bills,F,339670.0,2014,December
233,"Delhi, India",Signature,Bills,F,963751.0,2013,November
234,"Ahmedabad, India",Gold,Bills,F,761930.0,2014,November
235,"Ahmedabad, India",Signature,Bills,F,852806.0,2014,August
236,"Delhi, India",Signature,Bills,F,207755.0,2014,May
237,"Greater Mumbai, India",Gold,Bills,F,489540.0,2015,April
238,"Ahmedabad, India",Silver,Bills,F,274395.0,2014,March
239,"Bengaluru, India",Platinum,Bills,F,566945.0,2014,February
240,"Ahmedabad, India",Gold,Bills,F,705690.0,2014,December
241,"Bengaluru, India",Gold,Bills,F,894888.0,2014,March
242,"Greater Mumbai, India",Platinum,Bills,F,811899.0,2014,January
243,"Greater Mumbai, India",Silver,Bills,F,677645.0,2014,December
244,"Greater Mumbai, India",Platinum,Bills,F,326162.0,2014,October
245,"Delhi, India",Platinum,Bills,F,316946.0,2015,April
246,"Delhi, India",Platinum,Bills,F,622373.0,2014,January
247,"Bengaluru, India",Signature,Bills,F,640653.0,2014,May
248,"Ahmedabad, India",Signature,Bills,F,745493.0,2015,January
249,"Delhi, India",Gold,Bills,F,868021.0,2013,October
250,"Delhi, India",Platinum,Bills,F,284923.0,2014,November
251,"Bengaluru, India",Platinum,Bills,F,814422.0,2014,July
252,"Bengaluru, India",Gold,Bills,F,599741.0,2015,April
253,"Ahmedabad, India",Platinum,Bills,F,804560.0,2014,June
254,"Ahmedabad, India",Gold,Bills,F,996291.0,2015,April
255,"Ahmedabad, India",Platinum,Bills,F,477553.0,2013,November
256,"Delhi, India",Gold,Bills,F,216028.0,2015,January
257,"Greater Mumbai, India",Signature,Bills,F,275427.0,2015,March
258,"Delhi, India",Silver,Bills,F,722048.0,2013,December
259,"Delhi, India",Silver,Bills,F,292365.0,2015,February
260,"Ahmedabad, India",Silver,Bills,F,400393.0,2015,January
261,"Greater Mumbai, India",Platinum,Bills,F,219720.0,2014,April
262,"Delhi, India",Signature,Bills,F,981404.0,2015,February
263,"Bengaluru, India",Signature,Bills,F,639670.0,2014,November
264,"Bengaluru, India",Gold,Bills,F,814333.0,2014,August
265,"Ahmedabad, India",Gold,Bills,F,569582.0,2013,October
266,"Ahmedabad, India",Gold,Bills,F,954111.0,2014,May
267,"Ahmedabad, India",Gold,Bills,F,635267.0,2014,May
268,"Delhi, India",Gold,Bills,F,393651.0,2013,October
269,"Ahmedabad, India",Platinum,Bills,F,572306.0,2014,June
270,"Ahmedabad, India",Silver,Bills,F,407647.0,2014,August
271,"Greater Mumbai, India",Gold,Bills,F,734396.0,2015,January
272,"Delhi, India",Platinum,Bills,F,224414.0,2015,March
273,"Ahmedabad, India",Signature,Bills,F,203194.0,2014,September
274,"Greater Mumbai, India",Gold,Bills,F,250410.0,2015,January
275,"Delhi, India",Silver,Bills,F,830697.0,2015,April
276,"Greater Mumbai, India",Platinum,Bills,F,790800.0,2014,May
277,"Greater Mumbai, India",Silver,Bills,F,638570.0,2014,February
278,"Greater Mumbai, India",Silver,Bills,F,380409.0,2014,August
279,"Greater Mumbai, India",Gold,Bills,F,601631.0,2014,April
280,"Ahmedabad, India",Gold,Bills,F,690534.0,2014,January
281,"Ahmedabad, India",Silver,Bills,F,423661.0,2015,March
282,"Greater Mumbai, India",Silver,Bills,F,936294.0,2014,December
283,"Bengaluru, India",Platinum,Bills,F,537050.0,2014,November
284,"Delhi, India",Silver,Bills,F,899343.0,2015,March
285,"Greater Mumbai, India",Platinum,Bills,F,834691.0,2013,November
286,"Ahmedabad, India",Silver,Bills,F,240216.0,2015,April
287,"Greater Mumbai, India",Signature,Bills,F,424370.0,2014,April
288,"Delhi, India",Silver,Bills,F,593991.0,2015,February
289,"Greater Mumbai, India",Signature,Bills,F,768467.0,2014,October
290,"Delhi, India",Gold,Bills,F,781959.0,2015,February
291,"Bengaluru, India",Platinum,Bills,F,553907.0,2014,December
292,"Bengaluru, India",Platinum,Bills,F,308622.0,2014,August
293,"Greater Mumbai, India",Signature,Bills,F,912334.0,2015,May
294,"Delhi, India",Silver,Bills,F,586474.0,2015,January
295,"Delhi, India",Gold,Bills,F,521237.0,2014,April
296,"Delhi, India",Signature,Bills,F,446266.0,2013,October
297,"Greater Mumbai, India",Platinum,Bills,F,511168.0,2014,September
298,"Bengaluru, India",Signature,Bills,F,608438.0,2013,December
299,"Delhi, India",Gold,Bills,F,973519.0,2014,October
300,"Delhi, India",Platinum,Bills,F,688577.0,2014,November
301,"Bengaluru, India",Silver,Bills,F,686619.0,2014,May
302,"Greater Mumbai, India",Signature,Bills,F,255982.0,2014,November
303,"Greater Mumbai, India",Signature,Bills,F,464656.0,2014,March
304,"Delhi, India",Signature,Bills,F,212319.0,2015,April
305,"Greater Mumbai, India",Platinum,Bills,F,307563.0,2015,April
306,"Delhi, India",Silver,Bills,F,407564.0,2015,April
307,"Bengaluru, India",Signature,Bills,F,331349.0,2014,October
308,"Delhi, India",Silver,Bills,F,391325.0,2015,April
309,"Ahmedabad, India",Silver,Bills,F,530244.0,2014,October
310,"Greater Mumbai, India",Signature,Bills,F,668736.0,2014,April
311,"Bengaluru, India",Gold,Bills,F,517448.0,2014,December
312,"Ahmedabad, India",Platinum,Bills,F,788531.0,2014,August
313,"Ahmedabad, India",Gold,Bills,F,474729.0,2014,March
314,"Bengaluru, India",Platinum,Bills,F,590841.0,2015,January
315,"Greater Mumbai, India",Platinum,Bills,F,608427.0,2014,January
316,"Delhi, India",Silver,Bills,F,719835.0,2015,May
317,"Delhi, India",Signature,Bills,F,375139.0,2013,December
318,"Bengaluru, India",Platinum,Bills,F,229589.0,2014,May
319,"Bengaluru, India",Signature,Bills,F,376453.0,2014,July
320,"Delhi, India",Signature,Bills,F,360009.0,2013,October
321,"Ahmedabad, India",Signature,Bills,F,770346.0,2014,August
322,"Greater Mumbai, India",Signature,Bills,F,489043.0,2015,May
323,"Bengaluru, India",Platinum,Bills,F,503037.0,2014,November
324,"Greater Mumbai, India",Platinum,Bills,F,731261.0,2014,January
325,"Ahmedabad, India",Signature,Bills,F,262755.0,2014,February
326,"Greater Mumbai, India",Gold,Bills,F,825475.0,2014,July
327,"Greater Mumbai, India",Platinum,Bills,F,922630.0,2014,February
328,"Delhi, India",Gold,Bills,F,752172.0,2014,September
329,"Ahmedabad, India",Gold,Bills,F,418009.0,2014,June
330,"Delhi, India",Signature,Bills,F,994537.0,2014,June
331,"Greater Mumbai, India",Silver,Bills,F,922206.0,2014,August
332,"Greater Mumbai, India",Signature,Bills,F,389097.0,2014,May
333,"Bengaluru, India",Signature,Bills,F,880778.0,2015,April
334,"Greater Mumbai, India",Gold,Bills,F,327971.0,2015,March
335,"Bengaluru, India",Signature,Bills,F,689201.0,2014,March
336,"Bengaluru, India",Silver,Bills,F,792440.0,2015,May
337,"Bengaluru, India",Signature,Bills,F,602222.0,2015,March
338,"Ahmedabad, India",Platinum,Bills,F,502399.0,2014,September
339,"Ahmedabad, India",Silver,Bills,F,272804.0,2014,March
340,"Bengaluru, India",Platinum,Bills,F,613280.0,2014,June
341,"Delhi, India",Signature,Bills,F,876491.0,2014,October
342,"Bengaluru, India",Silver,Bills,F,820217.0,2014,February
343,"Greater Mumbai, India",Signature,Bills,F,994184.0,2014,September
344,"Ahmedabad, India",Platinum,Bills,F,515263.0,2013,December
345,"Ahmedabad, India",Signature,Bills,F,338527.0,2014,August
346,"Ahmedabad, India",Silver,Bills,F,934683.0,2014,June
347,"Ahmedabad, India",Signature,Bills,F,454570.0,2014,July
348,"Greater Mumbai, India",Gold,Bills,F,654519.0,2015,January
349,"Ahmedabad, India",Gold,Bills,F,958047.0,2014,June
350,"Bengaluru, India",Silver,Bills,F,465281.0,2013,November
351,"Ahmedabad, India",Signature,Bills,F,653161.0,2013,December
352,"Ahmedabad, India",Gold,Bills,F,307350.0,2014,April
353,"Greater Mumbai, India",Silver,Bills,F,41002.0,2014,August
354,"Bengaluru, India",Silver,Bills,F,34743.0,2014,January
355,"Bengaluru, India",Signature,Bills,F,195589.0,2014,September
356,"Bengaluru, India",Signature,Bills,F,204735.0,2014,March
357,"Ahmedabad, India",Signature,Bills,F,118112.0,2014,May
358,"Greater Mumbai, India",Platinum,Bills,F,61572.0,2013,December
359,"Delhi, India",Gold,Bills,F,274938.0,2015,February
360,"Greater Mumbai, India",Signature,Bills,F,43854.0,2014,February
361,"Delhi, India",Gold,Bills,F,8798.0,2014,April
362,"Greater Mumbai, India",Gold,Bills,F,192241.0,2015,May
363,"Bengaluru, India",Silver,Bills,F,128164.0,2014,April
364,"Delhi, India",Signature,Bills,F,249061.0,2014,April
365,"Greater Mumbai, India",Gold,Bills,F,275283.0,2014,January
366,"Greater Mumbai, India",Platinum,Bills,F,172194.0,2014,January
367,"Ahmedabad, India",Gold,Bills,F,13162.0,2015,May
368,"Bengaluru, India",Platinum,Bills,F,3427.0,2015,February
369,"Bengaluru, India",Gold,Bills,F,171374.0,2015,January
370,"Delhi, India",Signature,Bills,F,286251.0,2015,February
371,"Ahmedabad, India",Platinum,Bills,F,123417.0,2014,October
372,"Delhi, India",Silver,Bills,F,81088.0,2013,December
373,"Ahmedabad, India",Signature,Bills,F,64113.0,2014,October
374,"Bengaluru, India",Platinum,Bills,F,54374.0,2014,March
375,"Ahmedabad, India",Signature,Bills,F,175515.0,2015,March
376,"Delhi, India",Gold,Bills,F,78773.0,2013,November
377,"Bengaluru, India",Signature,Bills,F,143515.0,2014,June
378,"Delhi, India",Silver,Bills,F,263613.0,2014,November
379,"Greater Mumbai, India",Platinum,Bills,F,265434.0,2015,April
380,"Delhi, India",Signature,Bills,F,87839.0,2014,June
381,"Delhi, India",Signature,Bills,F,60905.0,2014,June
382,"Delhi, India",Platinum,Bills,F,199726.0,2015,April
383,"Delhi, India",Silver,Bills,F,267896.0,2015,January
384,"Ahmedabad, India",Gold,Bills,F,198937.0,2013,December
385,"Greater Mumbai, India",Gold,Bills,F,90745.0,2014,October
386,"Greater Mumbai, India",Silver,Bills,F,86676.0,2014,July
387,"Greater Mumbai, India",Platinum,Bills,F,163574.0,2015,May
388,"Greater Mumbai, India",Signature,Bills,F,2138.0,2015,April
389,"Bengaluru, India",Silver,Bills,F,253749.0,2014,June
390,"Delhi, India",Platinum,Bills,F,60187.0,2014,June
391,"Bengaluru, India",Platinum,Bills,F,15566.0,2015,March
392,"Greater Mumbai, India",Signature,Bills,F,242144.0,2014,July
393,"Delhi, India",Platinum,Bills,F,114049.0,2014,March
394,"Bengaluru, India",Gold,Bills,F,100992.0,2014,March
395,"Delhi, India",Silver,Bills,F,173017.0,2014,March
396,"Greater Mumbai, India",Gold,Bills,F,279567.0,2014,June
397,"Delhi, India",Signature,Bills,F,25016.0,2013,December
398,"Delhi, India",Silver,Bills,F,157982.0,2013,November
399,"Bengaluru, India",Signature,Bills,F,240387.0,2014,May
400,"Delhi, India",Platinum,Bills,F,134030.0,2014,August
401,"Bengaluru, India",Gold,Bills,F,108651.0,2015,January
402,"Delhi, India",Gold,Bills,F,138617.0,2014,January
403,"Bengaluru, India",Signature,Bills,F,98963.0,2014,January
404,"Delhi, India",Silver,Bills,F,25486.0,2013,December
405,"Delhi, India",Gold,Bills,F,231140.0,2015,March
406,"Ahmedabad, India",Gold,Bills,F,20032.0,2013,October
407,"Greater Mumbai, India",Gold,Bills,F,293938.0,2015,January
408,"Delhi, India",Silver,Bills,F,88175.0,2014,January
409,"Ahmedabad, India",Platinum,Bills,F,105297.0,2015,February
410,"Delhi, India",Platinum,Bills,F,129169.0,2013,October
411,"Greater Mumbai, India",Signature,Bills,F,172386.0,2014,August
412,"Greater Mumbai, India",Platinum,Bills,F,46369.0,2015,May
413,"Greater Mumbai, India",Silver,Bills,F,158636.0,2014,April
414,"Delhi, India",Signature,Bills,F,87219.0,2014,November
415,"Delhi, India",Gold,Bills,F,183445.0,2014,November
416,"Bengaluru, India",Silver,Bills,F,147977.0,2014,June
417,"Ahmedabad, India",Platinum,Bills,F,243279.0,2014,November
418,"Bengaluru, India",Platinum,Bills,F,243950.0,2014,April
419,"Delhi, India",Silver,Bills,F,32548.0,2015,April
420,"Delhi, India",Platinum,Bills,F,118126.0,2013,December
421,"Greater Mumbai, India",Platinum,Bills,F,13325.0,2013,November
422,"Greater Mumbai, India",Gold,Bills,F,295055.0,2014,February
423,"Greater Mumbai, India",Platinum,Bills,F,64764.0,2015,January
424,"Bengaluru, India",Platinum,Bills,F,174520.0,2014,February
425,"Delhi, India",Signature,Bills,F,72763.0,2013,November
426,"Greater Mumbai, India",Signature,Bills,F,269809.0,2014,September
427,"Delhi, India",Silver,Bills,F,81145.0,2014,June
